How many employees directly report to you?,What is your hierarchical level within your organization?,What is your job function?,How many years have you held your current position?,What is your gender?,How old are you?,What is the size of your organisation?,What type of environment do you reside in?,What is your current place of residence?,Did you suffer from a burnout in the last 6 months?,What is the primary industry sector your organization is working in?,How stressed do you feel?,What was your perceived workload in the last month (none - too high)?,"During the last month I felt anxious (1 not at all, 7 extreme)?","During the last month I felt unmotivated (1 not at all, 7 extreme)?","During the last month I felt stressed (1 not at all, 7 extreme)?",What was the perceived number of stressfull events in the last month (none - too high)?,What was your perceived level of control over your life during the last month (none - full)?,The amount of physical activity was?,The quality of my sleep was?,My job satisfaction was?,My job productivity was?,I feel aligned with my team leader?,"I feel engaged at my daily work (1 not at all, 7 extreme)?","I feel appreciated at my workplace (1 not at all, 7 extreme)?","I feel aligned with my other team members (1 not at all, 7 extreme)?","I have a healthy work-life balance  (1 not at all, 7 extreme)?","How close to you feel you are to a burnout? (1 not at all, 7 extreme)?","My abilities fit my job requirement well (1 not at all, 7 extreme)?","How many lottery tickets, tombolas, or games of chance with very low probabilities of winning have you purchased in the past year?","How many times have you gambled for money in the past year (casino, sports-bets, online gambling etc.)?","How many high-risk investments (e.g., cryptocurrency, penny stocks) have you made in the past year?","Do you engage in extreme sports or activities with a known risk of physical injury (rock climbing, skydiving, motorbike racing etc.)?",How many times did you quit a stable job to pursue a career or business opportunity with uncertain outcomes?,How many speculative or unproven business ideas have you invested in within the past five years?,How many times have you traveled to an unfamiliar destination without making detailed plans or reservations?,How many new products or services have you purchased without reading reviews or consulting others?,"How many spontaneous decisions (e.g., last-minute travel, major purchases) have you made in the past 5 years?",How many times have you attended events or activities without knowing anyone there beforehand?,How many times have you changed your career path or job direction in the past 5 years?,"How many insurance policies (e.g., health, life, travel, product warranties) to protect against the possibility of loss have you purchased in the past 5 years?",How many refund policies or money-back guarantees have you utilized in the past 5 years?,"Which one do you prefer: secure, low-return financial products or a riskier, high-return alternative?",How many times have you rejected a job or project opportunity with significant benefits because it involved significant financial or status risk?,"How many high-risk, high-reward investments have you made in the past 5 years?",How many fitness or personal improvement challenges have you taken on in the past 5 years to achieve measurable goals?,How many times have you pursued bonuses or promotions in your job in the past 5 years?,How many times have you avoided giving advice to not be accountable for the outcome in the past 5 years?,"In team-, group of friends- or family-decisions how often are you the one who makes the final call? (in percentages)","How often have you voiced a controversial opinion in a public setting, knowing it might result in social backlash in the past year?","How often have you set a goal for yourself that statistically only a small percentage of people achieve (e.g., climbing Everest, writing a bestseller) in the past 5 years?","Have you ever avoided volunteering for roles (e.g., on a board, committee, or leadership position) where you would be responsible for making impactful decisions for a group?",How satisfied are you with your current job?,To what extent do you feel your work is meaningful?,How supported do you feel by your team leader?,How well does your current role align with your personal values?,Have you considered changing jobs in the past 6 months?,Do you feel appreciated at your organization?,Would you recommend your workplace to others?,How would you rate your job performance over the past year? (Self-assessed),Did you receive any formal recognition or bonus in the past 12 months?,How was your job productivity over the last month?,To what extent did you meet your KPIs in the last year?,How much was the rating of your job productivity for the last year?
0,Executive management,Community and Social Services,1-3,Female,26-35,1-9,Urban,United States,Yes,Education,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Middle management,Information Technology,5-10,Male,36-45,>1000,Urban,United States,No,IT / Software / Tech,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Intermediate level staff,Consulting,1-3,Female,26-35,>1000,Urban,Germany,No,Finance,High,,,,,,,,,,,,6,4,4,4,6,5,1-3,0,1-3,No,0,0,1-3,3-5,3-5,3-5,0,1-3,1-3,"secure, low-return financial products",1-3,1-3,5-10,1-3,3-5,60%,3-5,>20,No,Satisfied,Somewhat,Very,Very,"Yes, occasionally",Somewhat,Probably yes,Exceeds expectations,Yes,High,Very,
>20,Intermediate level staff,Accounting,3-5,Male,26-35,50-249,Urban,Portugal,Yes,Finance,High,,,,,,,,,,,,3,4,3,5,6,5,No answer,>20,10-20,Yes,1-3,3-5,0,3-5,5-10,5-10,0,0,0,No answer,1-3,0,3-5,0,No answer,40%,3-5,1-3,Yes,Satisfied,Somewhat,Somewhat,Not at all,No,Slightly,Definitely not,Below expectations,Yes,Very High,Not at all,
1-5,Middle management,Marketing,1-3,Female,26-35,10-49,Urban,United Kingdom,Yes,Marketing,High,,,,,,,,,,,,3,1,2,1,6,5,10-20,1-3,1-3,Yes,1-3,0,1-3,>20,5-10,0,1-3,3-5,0,"secure, low-return financial products",0,1-3,1-3,1-3,0,100%,1-3,0,No,Very dissatisfied,Not at all,Slightly,Not at all,"Yes, frequently",Not at all,Definitely not,Exceeds expectations,Yes,Average,Very,
0,Self employed / contractor,Arts and Design,>10,Female,46-55,1-9,Rural,United States,No,Entertainment,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Senior staff,Consulting,5-10,Female,26-35,10-49,Urban,Netherlands,Yes,No answer,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Senior staff,Purchasing,0-1,Female,26-35,250-1000,Suburban / agglomeration,Switzerland,No,IT / Software / Tech,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,First-level management,Customer Service / Client Relations,5-10,Male,36-45,50-249,Urban,United Kingdom,No,Entertainment,Medium,,,,,,,,,,,,5,5,5,5,2,5,0,5-10,0,No,0,0,0,3-5,3-5,0,0,3-5,1-3,"secure, low-return financial products",3-5,0,1-3,1-3,3-5,60%,0,0,No,Satisfied,Very,Somewhat,Somewhat,No,Very,Probably yes,Meets expectations,No,Average,Somewhat,
1-5,Self employed / contractor,Administrative,0-1,Female,18-25,50-249,Rural,Germany,No,Health Care,Medium,,,,,,,,,,,,5,5,4,6,2,3,3-5,0,1-3,No,3-5,3-5,1-3,3-5,1-3,3-5,0,1-3,3-5,"riskier, high-return products",3-5,3-5,3-5,3-5,5-10,50%,3-5,3-5,Yes,Very satisfied,Very,Somewhat,Slightly,No,Somewhat,Not sure,Exceeds expectations,Yes,High,Very,
No answer,No answer,No answer,No answer,Female,18-25,No answer,No answer,Switzerland,No,No answer,Low,No answer,1,1,1,No answer,No answer,Very Low (never),Average,No answer,No answer,No answer,No answer,No answer,No answer,7,1,No answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-10,Senior staff,No answer,3-5,Male,46-55,>1000,Suburban / agglomeration,Switzerland,No,Health Care,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Entry level staff,Education,1-3,Female,26-35,1-9,Suburban / agglomeration,Spain,Yes,Education,Low,,,,,,,,,,,,7,7,7,6,3,7,1-3,0,1-3,No,1-3,0,0,1-3,3-5,1-3,1-3,1-3,3-5,"secure, low-return financial products",0,1-3,3-5,0,0,60%,0,1-3,No,Very satisfied,Extremely,Very,Very,No,Extremely,Probably yes,Far exceeds expectations,No,Very High,Extremely,
0,Intermediate level staff,Administrative,0-1,Female,26-35,50-249,Urban,United States,Yes,Health Care,Medium,,,,,,,,,,,,4,2,4,3,4,4,1-3,1-3,0,No,0,0,0,0,1-3,1-3,1-3,1-3,1-3,"secure, low-return financial products",0,0,1-3,1-3,1-3,30%,1-3,1-3,Yes,Neutral,Slightly,Not at all,Slightly,"Yes, frequently",Not at all,Definitely not,Exceeds expectations,Yes,Average,Very,
>20,First-level management,Healthcare Services,1-3,Male,18-25,>1000,Rural,Egypt,No,Health Care,Low,,,,,,,,,,,,6,4,5,6,4,6,0,1-3,0,Yes,1-3,0,0,3-5,5-10,1-3,0,1-3,3-5,"secure, low-return financial products",0,1-3,3-5,0,3-5,30%,0,1-3,Yes,Satisfied,Somewhat,Very,Extremely,No,Somewhat,Probably yes,Meets expectations,No,Average,Very,
5-10,Executive management,No answer,>10,Female,56-65,10-49,Urban,United States,No,Multiple,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Middle management,Consulting,5-10,Female,26-35,>1000,Urban,Chile,Yes,IT / Software / Tech,Medium,,,,,,,,,,,,5,5,6,5,4,6,1-3,1-3,10-20,No,1-3,1-3,0,0,1-3,0,1-3,1-3,0,"riskier, high-return products",0,1-3,1-3,1-3,0,70%,1-3,1-3,No,Satisfied,Very,Very,Very,"Yes, occasionally",Very,Probably yes,Meets expectations,Yes,,Very,High
5-10,Senior staff,Human Resources,5-10,Female,26-35,10-49,Urban,South Africa,No,Manufacturing,Medium,,,,,,,,,,,,6,7,7,7,3,6,3-5,3-5,3-5,Yes,0,1-3,1-3,3-5,1-3,3-5,1-3,1-3,1-3,"riskier, high-return products",1-3,1-3,3-5,3-5,1-3,60%,3-5,3-5,No,Satisfied,Very,Very,Very,"Yes, occasionally",Very,Definitely yes,Meets expectations,Yes,Average,Very,
10-20,Middle management,Finance,>10,Female,36-45,>1000,Urban,Vietnam,Yes,Finance,High,,,,,,,,,,,,5,6,6,5,3,6,5-10,0,1-3,No,1-3,1-3,0,0,3-5,1-3,1-3,1-3,1-3,"riskier, high-return products",0,1-3,1-3,1-3,0,70%,3-5,1-3,No,Neutral,Somewhat,Somewhat,Somewhat,"Yes, occasionally",Somewhat,Probably yes,Meets expectations,Yes,,Somewhat,Average
1-5,First-level management,Consulting,1-3,Male,26-35,50-249,Urban,Switzerland,No,Finance,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Not at all,Not at all,Slightly,"Yes, frequently",Very,Probably yes,Exceeds expectations,Yes,Very High,Extremely,
5-10,Senior staff,Support / Training and Development,1-3,Male,26-35,10-49,Rural,Egypt,Yes,IT / Software / Tech,Low,,,,,,,,,,,,1,5,4,6,3,5,1-3,0,5-10,No,1-3,3-5,0,1-3,0,1-3,0,3-5,1-3,"secure, low-return financial products",3-5,5-10,10-20,3-5,5-10,40%,10-20,5-10,No,Very satisfied,Very,Very,Very,No,Very,Not sure,Exceeds expectations,Yes,High,Very,
0,Intermediate level staff,Research,1-3,Female,36-45,50-249,Urban,United States,Yes,Other,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Self employed / contractor,Sales,0-1,Female,18-25,>1000,Suburban / agglomeration,Switzerland,No,Energy,Low,High,3,3,7,High,Average,Very High (every day),Low,High,High,High,4,4,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>20,Middle management,Finance,3-5,Female,26-35,250-1000,Urban,South Africa,Yes,Finance,Medium,,,,,,,,,,,,7,5,7,1,7,7,10-20,>20,5-10,Yes,0,1-3,1-3,>20,3-5,1-3,0,1-3,0,"riskier, high-return products",0,1-3,5-10,1-3,10-20,50%,5-10,3-5,Yes,Neutral,Somewhat,Somewhat,Very,"Yes, occasionally",Somewhat,Probably yes,Far exceeds expectations,Yes,Very High,Very,
0,No answer,Engineering,1-3,Female,36-45,No answer,Rural,Switzerland,Yes,No answer,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>20,Executive management,Information Technology,>10,Female,46-55,>1000,Suburban / agglomeration,United States,Yes,IT,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>20,Senior staff,Information Technology,3-5,Male,18-25,>1000,Urban,Poland,Yes,IT / Software / Tech,Low,,,,,,,,,,,,4,6,4,5,4,6,0,0,0,No,0,0,0,0,0,No answer,0,0,0,"secure, low-return financial products",0,0,1-3,0,0,30%,>20,0,No,Satisfied,Very,Very,Very,"Yes, frequently",Very,Definitely yes,Exceeds expectations,Yes,Average,Somewhat,
0,No answer,Education,>10,Female,36-45,50-249,Rural,United States,No,Education,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Entry level staff,Customer Service / Client Relations,1-3,Female,26-35,50-249,Suburban / agglomeration,Canada,No,Other,Medium,,,,,,,,,,,,5,6,6,7,1,5,>20,1-3,0,No,1-3,1-3,0,0,0,1-3,1-3,1-3,1-3,"secure, low-return financial products",0,0,3-5,0,0,30%,0,1-3,No,Satisfied,Very,Very,Very,No,Slightly,Probably yes,Meets expectations,No,,Somewhat,Average
0,Senior staff,Media and Communication,1-3,Female,36-45,50-249,Rural,France,No,Health Care,Low,Average,3,4,3,Low,Very High,Very High (every day),Average,Average,Average,High,5,6,4,6,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Senior staff,Information Technology,3-5,Male,46-55,50-249,Urban,United Kingdom,No,IT / Software / Tech,Medium,,,,,,,,,,,,4,2,6,3,6,5,1-3,3-5,3-5,No,0,0,1-3,1-3,5-10,1-3,0,0,1-3,"riskier, high-return products",0,5-10,1-3,1-3,3-5,70%,3-5,0,No,Neutral,Somewhat,Slightly,Somewhat,No,Slightly,Probably yes,Exceeds expectations,No,Low,Slightly,
0,Intermediate level staff,Administrative,1-3,Female,36-45,250-1000,Suburban / agglomeration,United States,Yes,Other,Low,,,,,,,,,,,,5,7,5,7,2,6,1-3,10-20,0,No,0,0,0,>20,>20,5-10,1-3,1-3,>20,"secure, low-return financial products",0,0,1-3,1-3,0,50%,0,0,Yes,Very satisfied,Somewhat,Extremely,Somewhat,"Yes, occasionally",Extremely,Definitely yes,Meets expectations,Yes,Low,Very,
0,Intermediate level staff,Education,5-10,Female,46-55,>1000,Rural,United States,Yes,Education,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Middle management,Human Resources,>10,Female,56-65,>1000,Suburban / agglomeration,United States,No,Other,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Intermediate level staff,Consulting,1-3,Male,26-35,>1000,Urban,Switzerland,No,IT,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Senior staff,Operations,0-1,Male,46-55,10-49,Urban,Canada,Yes,Other,Medium,,,,,,,,,,,,7,7,7,4,1,7,0,0,0,No,0,0,0,0,0,>20,1-3,1-3,0,"riskier, high-return products",0,1-3,3-5,0,No answer,50%,No answer,1-3,Yes,Very satisfied,Extremely,Extremely,Extremely,No,Extremely,Probably yes,Exceeds expectations,Yes,Very High,Very,
1-5,First-level management,Logistics / Supply Chain,1-3,Female,36-45,50-249,Rural,Egypt,Yes,Hospitality,Medium,,,,,,,,,,,,4,3,4,3,3,5,1-3,0,5-10,Yes,1-3,3-5,0,3-5,5-10,3-5,1-3,0,3-5,"riskier, high-return products",1-3,1-3,1-3,3-5,3-5,40%,3-5,3-5,No,Neutral,Somewhat,Somewhat,Slightly,No,Somewhat,Probably yes,Meets expectations,Yes,,Somewhat,Average
1-5,Entry level staff,Sales,0-1,Female,26-35,50-249,Suburban / agglomeration,Kenya,Yes,Other,Medium,,,,,,,,,,,,3,2,1,2,5,6,0,0,0,No,1-3,1-3,0,1-3,3-5,0,1-3,1-3,0,"secure, low-return financial products",1-3,0,1-3,0,0,70%,3-5,0,Yes,Dissatisfied,Slightly,Somewhat,Somewhat,"Yes, frequently",Slightly,Not sure,Meets expectations,Yes,High,Somewhat,
0,Senior staff,Information Technology,5-10,Male,56-65,1-9,Suburban / agglomeration,United States,No,Construction,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Senior staff,Program and Project Management,3-5,Female,56-65,No answer,Suburban / agglomeration,United States,No,Government,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Senior staff,Marketing,5-10,Male,36-45,1-9,Urban,United States,No,Marketing,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Senior staff,Administrative,>10,Male,46-55,1-9,Rural,United States,No,Marketing,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Intermediate level staff,Consulting,1-3,Male,26-35,50-249,Suburban / agglomeration,Japan,No,IT,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Self employed / contractor,Healthcare Services,0-1,Female,18-25,1-9,Urban,Canada,Yes,Health Care,High,,,,,,,,,,,,6,7,6,1,7,7,1-3,1-3,0,Yes,1-3,0,3-5,1-3,3-5,3-5,1-3,0,5-10,"secure, low-return financial products",0,0,1-3,0,0,50%,0,0,No,Satisfied,Extremely,Somewhat,Extremely,No,Somewhat,Not sure,Exceeds expectations,No,Very High,Somewhat,
1-5,Executive management,Entrepreneurship,3-5,Male,36-45,1-9,Rural,Switzerland,No,IT,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Intermediate level staff,Sales,1-3,Female,18-25,10-49,Urban,Egypt,Yes,Marketing,Medium,,,,,,,,,,,,4,6,6,4,6,5,0,0,0,No,3-5,0,1-3,0,3-5,5-10,1-3,0,>20,"secure, low-return financial products",5-10,1-3,1-3,1-3,>20,80%,>20,5-10,No,Neutral,Very,Somewhat,Somewhat,"Yes, frequently",Somewhat,Probably yes,Meets expectations,Yes,High,Very,
0,Middle management,Engineering,0-1,Female,36-45,50-249,Suburban / agglomeration,Switzerland,No,Telecommunication,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Self employed / contractor,Healthcare Services,3-5,Non-binary / Other,26-35,1-9,Suburban / agglomeration,Canada,Yes,Health Care,Medium,,,,,,,,,,,,6,6,3,3,5,6,0,0,0,No,0,0,0,0,1-3,1-3,0,1-3,1-3,"secure, low-return financial products",1-3,1-3,1-3,1-3,0,80%,3-5,1-3,No,Satisfied,Extremely,Slightly,Extremely,No,Somewhat,Probably yes,Exceeds expectations,No,,Slightly,High
5-10,Middle management,Information Technology,1-3,Male,46-55,50-249,Urban,Australia,No,IT,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-10,Middle management,Program and Project Management,>10,Male,46-55,250-1000,Urban,Germany,No,Multiple,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-20,Senior staff,Business Development,3-5,Non-binary / Other,18-25,50-249,Urban,Kenya,Yes,Finance,Medium,,,,,,,,,,,,6,5,6,5,4,6,10-20,>20,5-10,Yes,1-3,1-3,1-3,3-5,3-5,1-3,1-3,3-5,3-5,"riskier, high-return products",1-3,1-3,1-3,1-3,1-3,40%,5-10,1-3,Yes,Neutral,Extremely,Somewhat,Somewhat,"Yes, occasionally",Somewhat,Probably yes,Exceeds expectations,Yes,Very High,Somewhat,
0,Senior staff,Consulting,>10,Male,56-65,>1000,Suburban / agglomeration,United Kingdom,No,Multiple,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Entry level staff,Education,1-3,Female,56-65,250-1000,Suburban / agglomeration,United States,No,Education,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Entry level staff,Finance,1-3,Male,18-25,>1000,Urban,Switzerland,No,Finance,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Senior staff,Consulting,>10,Male,46-55,10-49,Suburban / agglomeration,Netherlands,No,Multiple,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Self employed / contractor,Education,3-5,Male,56-65,10-49,Suburban / agglomeration,Canada,No,Education,Low,,,,,,,,,,,,6,7,7,7,1,7,0,0,0,No,0,0,0,0,1-3,1-3,0,0,1-3,"secure, low-return financial products",1-3,1-3,1-3,0,0,50%,1-3,0,No,Very satisfied,Extremely,Extremely,Extremely,No,Extremely,Probably yes,Exceeds expectations,No,,Very,High
0,Senior staff,Program and Project Management,1-3,Female,56-65,>1000,Urban,United States,No,Government,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Senior staff,Research,3-5,Male,46-55,1-9,Rural,United States,No,Education,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Intermediate level staff,Customer Service / Client Relations,1-3,Female,18-25,10-49,Urban,Canada,No,Media,Medium,,,,,,,,,,,,5,4,6,5,2,6,0,0,0,No,1-3,0,1-3,1-3,0,0,3-5,3-5,0,"secure, low-return financial products",0,0,0,1-3,0,20%,0,0,No,Neutral,Slightly,Slightly,Very,"Yes, occasionally",Somewhat,Probably yes,Meets expectations,No,Low,Very,
0,First-level management,Accounting,0-1,Female,26-35,1-9,Rural,Canada,No,Entertainment,Low,,,,,,,,,,,,5,7,5,7,1,7,3-5,1-3,0,No,0,1-3,0,1-3,1-3,1-3,1-3,0,0,"secure, low-return financial products",0,1-3,0,0,No answer,60%,No answer,0,Yes,Satisfied,Very,Very,Very,"Yes, occasionally",Very,Definitely yes,Exceeds expectations,Yes,,Somewhat,Average
10-20,Executive management,Operations,>10,Male,>65,>1000,Urban,Switzerland,No,Government,Medium,High,4,1,2,Average,Average,High (4-6 days a week),Average,Low,High,Very High,4,4,2,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Self employed / contractor,Education,3-5,Female,56-65,1-9,Suburban / agglomeration,Switzerland,No,Education,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-20,Middle management,Business Development,5-10,Male,26-35,>1000,Urban,Sweden,No,Finance,Medium,,,,,,,,,,,,5,3,5,2,3,5,1-3,0,0,No,1-3,0,1-3,3-5,1-3,1-3,1-3,3-5,1-3,"riskier, high-return products",1-3,1-3,3-5,3-5,0,20%,1-3,3-5,Yes,Dissatisfied,Slightly,Somewhat,Slightly,"Yes, frequently",Slightly,Probably not,Meets expectations,No,High,Somewhat,
0,Entry level staff,Community and Social Services,0-1,Female,18-25,10-49,Suburban / agglomeration,Vietnam,Yes,Government / Public Administration,Medium,,,,,,,,,,,,5,5,6,6,4,3,10-20,0,0,No,0,0,1-3,0,1-3,1-3,1-3,1-3,0,"secure, low-return financial products",0,0,0,0,3-5,10%,1-3,0,Yes,Neutral,Somewhat,Somewhat,Slightly,"Yes, frequently",Slightly,Probably yes,Below expectations,Yes,Average,Somewhat,
0,Intermediate level staff,Information Technology,3-5,Male,26-35,250-1000,Urban,Brazil,No,IT / Software / Tech,Low,,,,,,,,,,,,3,2,4,4,6,5,10-20,>20,5-10,Yes,0,0,>20,0,>20,3-5,1-3,0,5-10,"secure, low-return financial products",0,0,>20,1-3,1-3,20%,>20,>20,Yes,Dissatisfied,Slightly,Somewhat,Somewhat,"Yes, frequently",Not at all,Not sure,Exceeds expectations,No,Average,Extremely,
0,Intermediate level staff,Finance,3-5,Male,26-35,250-1000,Urban,Switzerland,No,Finance,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Senior staff,Education,>10,Female,46-55,250-1000,Rural,United States,No,Education,Medium,,,,,,,,,,,,5,4,6,4,5,7,1-3,0,0,No,0,1-3,1-3,3-5,10-20,5-10,0,3-5,3-5,"secure, low-return financial products",3-5,1-3,10-20,3-5,1-3,90%,3-5,5-10,Yes,Satisfied,Extremely,Very,Extremely,"Yes, occasionally",Somewhat,Probably yes,Exceeds expectations,Yes,Very High,Very,
0,Intermediate level staff,Administrative,>10,Female,36-45,>1000,Rural,Canada,No,Government / Public Administration,Low,,,,,,,,,,,,6,6,7,6,1,7,1-3,1-3,0,No,0,0,0,0,0,0,0,1-3,1-3,"secure, low-return financial products",0,0,1-3,1-3,1-3,50%,0,0,Yes,Satisfied,Very,Somewhat,Very,"Yes, occasionally",Not at all,Not sure,Exceeds expectations,No,High,Very,
0,Self employed / contractor,Education,3-5,Female,36-45,>1000,Rural,United States,Yes,Education,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Intermediate level staff,Program and Project Management,3-5,Female,46-55,250-1000,Suburban / agglomeration,United States,No,IT,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Entry level staff,Information Technology,0-1,Male,18-25,10-49,Urban,Egypt,Yes,Other,Medium,,,,,,,,,,,,3,4,5,6,5,6,1-3,0,3-5,No,No answer,0,1-3,0,5-10,1-3,0,1-3,5-10,"secure, low-return financial products",0,1-3,3-5,1-3,5-10,30%,5-10,0,Yes,Dissatisfied,Slightly,Somewhat,Somewhat,"Yes, frequently",Slightly,Probably not,Meets expectations,Yes,Low,Somewhat,
0,Executive management,Sales,5-10,Male,36-45,>1000,Urban,Germany,No answer,Other,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-10,Senior staff,Administrative,5-10,Female,56-65,50-249,Rural,United States,Yes,Other,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-10,Mittleres Management,Gemeinschafts- und Sozialdienste,1-3,Männlich,26-35,>1000,Städtisch,Schweiz,Nein,Andere,Mittel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No answer,Intermediate level staff,Operations,3-5,Male,36-45,250-1000,Suburban / agglomeration,United States,No,Manufacturing,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-10,Middle management,Education,5-10,Male,46-55,250-1000,Urban,Mexico,No,Education,Low,,,,,,,,,,,,7,6,7,6,1,7,1-3,0,0,No,0,0,1-3,1-3,1-3,0,0,3-5,0,"secure, low-return financial products",0,0,1-3,1-3,1-3,30%,0,0,No,Very satisfied,Very,Very,Somewhat,No,Very,Probably yes,Meets expectations,Yes,High,Somewhat,
1-5,Entry level staff,Research,1-3,Female,18-25,10-49,Urban,Switzerland,No,Other,Medium,Very High,6,6,5,Very High,Low,Average (2-3 days a week),Very High,Average,High,High,5,5,5,2,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Intermediate level staff,Quality Assurance,0-1,Diverse,26-35,>1000,Suburban / agglomeration,United States,Yes,Multiple,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Intermediate level staff,Marketing,3-5,Male,36-45,>1000,Urban,Switzerland,No,Manufacturing,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Intermediate level staff,Healthcare Services,1-3,Female,56-65,250-1000,Suburban / agglomeration,United States,Yes,Health Care,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Intermediate level staff,Accounting,1-3,Female,46-55,50-249,Suburban / agglomeration,United States,Yes,Marketing,Medium,,,,,,,,,,,,5,4,5,2,3,4,1-3,0,0,No,0,0,0,3-5,5-10,1-3,0,3-5,0,"secure, low-return financial products",0,0,1-3,0,0,80%,0,0,No,Satisfied,Somewhat,Somewhat,Very,"Yes, occasionally",Slightly,Probably yes,Far exceeds expectations,No,,Extremely,Very High
